Sample_ID,Label,Original_Title
"""GSM213072""",nobpd,umbilical cord_nobpd: 1A
"""GSM213073""",bpd,umbilical cord_bpd: 1C
"""GSM213074""",bpd,umbilical cord_bpd: 1D
"""GSM213075""",nobpd,umbilical cord_nobpd: 1E
"""GSM213076""",nobpd,umbilical cord_nobpd: 2A
"""GSM213077""",bpd,umbilical cord_bpd: 2B
"""GSM213078""",nobpd,umbilical cord_nobpd: 2C
"""GSM213079""",nobpd,umbilical cord_nobpd: 2D
"""GSM213080""",nobpd,umbilical cord_nobpd: 2E
"""GSM213081""",nobpd,umbilical cord_nobpd: 2G
"""GSM213082""",nobpd,umbilical cord_nobpd: 3A
"""GSM213083""",bpd,umbilical cord_bpd: 3B
"""GSM213084""",nobpd,umbilical cord_nobpd: 3C
"""GSM213085""",nobpd,umbilical cord_nobpd: 3D
"""GSM213086""",bpd,umbilical cord_bpd: 3E
"""GSM213087""",nobpd,umbilical cord_nobpd: 3F
"""GSM213088""",nobpd,umbilical cord_nobpd: 3G
"""GSM213089""",nobpd,umbilical cord_nobpd: 4A
"""GSM213090""",nobpd,umbilical cord_nobpd: 4B
"""GSM213091""",nobpd,umbilical cord_nobpd: 4C
"""GSM213092""",nobpd,umbilical cord_nobpd: 4D
"""GSM213093""",nobpd,umbilical cord_nobpd: 5A
"""GSM213094""",bpd,umbilical cord_bpd: 5B
"""GSM213095""",bpd,umbilical cord_bpd: 5C
"""GSM213096""",nobpd,umbilical cord_nobpd: 5D
"""GSM213097""",nobpd,umbilical cord_nobpd: 5F
"""GSM213098""",bpd,umbilical cord_bpd: 5H
"""GSM213099""",nobpd,umbilical cord_nobpd: 6A
"""GSM213100""",nobpd,umbilical cord_nobpd: 6D
"""GSM213101""",nobpd,umbilical cord_nobpd: 6E/2F
"""GSM213102""",bpd,umbilical cord_bpd: 6F
"""GSM213103""",bpd,umbilical cord_bpd: 6H
"""GSM213104""",bpd,umbilical cord_bpd: 7C
"""GSM213105""",nobpd,umbilical cord_nobpd: 7D
"""GSM213106""",bpd,umbilical cord_bpd: 7F
"""GSM213107""",bpd,umbilical cord_bpd: 7H
"""GSM213108""",bpd,umbilical cord_bpd: 8A
"""GSM213109""",nobpd,umbilical cord_nobpd: 8D
"""GSM213110""",nobpd,umbilical cord_nobpd: 8F
"""GSM213111""",nobpd,umbilical cord_nobpd: 9A
"""GSM213112""",bpd,umbilical cord_bpd: 9C
"""GSM213113""",nobpd,umbilical cord_nobpd: 9D
"""GSM213114""",bpd,umbilical cord_bpd: 9F
"""GSM213115""",bpd,umbilical cord_bpd: 9I
"""GSM213116""",bpd,umbilical cord_bpd: 2I
"""GSM213117""",nobpd,umbilical cord_nobpd: 3I
"""GSM213118""",nobpd,umbilical cord_nobpd: 4F
"""GSM213119""",bpd,umbilical cord_bpd: 4I
"""GSM213120""",nobpd,umbilical cord_nobpd: 5I
"""GSM213121""",nobpd,umbilical cord_nobpd: 7I
"""GSM213122""",nobpd,umbilical cord_nobpd: 8B
"""GSM213123""",nobpd,umbilical cord_nobpd: 8C
"""GSM213124""",bpd,umbilical cord_bpd: 8I
"""GSM213125""",nobpd,umbilical cord_nobpd: 9B
